City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
333,Saint-Augustin,51.226,-58.6502,48.52,92,100,14.32,CA,2021-07-23 02:08:55,overcast clouds
334,Stornoway,58.2093,-6.3865,54.93,100,90,2.3,GB,2021-07-23 02:08:56,fog
335,Pishin,30.5803,66.9961,76.28,45,0,4.12,PK,2021-07-23 02:08:56,clear sky
336,Salalah,17.0151,54.0924,78.89,94,90,9.22,OM,2021-07-23 02:08:57,overcast clouds
337,Ilulissat,69.2167,-51.1,44.62,81,100,3.44,GL,2021-07-23 02:08:57,overcast clouds
338,Gardez,33.5974,69.2259,65.52,52,2,2.98,AF,2021-07-23 02:08:57,clear sky
339,Abonnema,4.7084,6.7931,75.11,88,100,5.75,NG,2021-07-23 02:08:58,overcast clouds
340,Guerrero Negro,27.9769,-114.0611,72.81,75,100,14.63,MX,2021-07-23 02:08:58,overcast clouds
341,Mumford,5.2618,-0.759,75.42,86,100,9.42,GH,2021-07-23 02:08:59,overcast clouds
342,Jumla,29.2747,82.1838,64.35,94,100,0.63,NP,2021-07-23 02:08:59,overcast clouds
343,Saltillo,25.4167,-101.0,70.14,60,75,0.0,MX,2021-07-23 02:06:32,broken clouds
344,Svetlogorsk,52.6333,29.7333,52.81,89,13,5.55,BY,2021-07-23 02:09:00,few clouds
345,Sinnamary,5.3833,-52.95,78.6,87,53,8.63,GF,2021-07-23 02:09:00,broken clouds
346,Vao,-22.6667,167.4833,69.4,69,36,5.41,NC,2021-07-23 02:09:01,scattered clouds
347,Chibuto,-24.6867,33.5306,61.0,59,17,11.21,MZ,2021-07-23 02:09:01,few clouds
348,Cabedelo,-6.9811,-34.8339,72.27,84,75,11.99,BR,2021-07-23 02:09:01,broken clouds
349,Voyinka,45.8699,33.9914,68.29,66,52,13.44,UA,2021-07-23 02:09:02,broken clouds
350,Shitanjing,39.2342,106.3439,79.77,54,8,14.45,CN,2021-07-23 02:09:02,clear sky
351,Lensk,60.7253,114.9278,78.28,48,100,2.42,RU,2021-07-23 02:09:03,overcast clouds
352,Mandalgovi,45.7625,106.2708,70.05,36,93,7.94,MN,2021-07-23 02:09:03,overcast clouds
353,Tambura,5.6,27.4667,67.23,97,81,2.86,SS,2021-07-23 02:09:03,broken clouds
354,Leh,34.1667,77.5833,59.36,54,32,3.8,IN,2021-07-23 02:09:04,scattered clouds
355,Kupang,-10.1667,123.5833,84.78,51,20,5.75,ID,2021-07-23 02:09:04,few clouds
356,Clarence Town,-32.5833,151.7833,66.61,53,45,2.68,AU,2021-07-23 02:09:05,scattered clouds
